bank,ifsc,branch,centre,district,state,address,contact,imps,rtgs,city,neft,micr
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065109,WAGHOLI,PUNE,PUNE,MAHARASHTRA,"620, PUNE NAGAR ROAD, WAGHOLI, TAL.HAVELI, PUNE-412207",27051700,true,true,PUNE,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065110,SINHAGAD ROAD,PUNE,PUNE,MAHARASHTRA,"SHOWROOM NO. 1 AND 3, SUNIT RIDDHI BLDG, PLOT NO. 2B, FINAL PLOT NO. 545, S. NO. 120A, 120B, PARVATI, SINHAGAD RD, PUNE 411030",24308301,true,true,PUNE,true,411065013
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065111,DECCAN GYMKHANA,PUNE,PUNE,MAHARASHTRA,"AMIT SAMRUDDHI, OFF. J.M.ROAD, SHIVAJI NAGAR, PUNE-411004",25513670,true,true,PUNE,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065112,NAGPUR,NAGPUR,NAGPUR,MAHARASHTRA,"BHAGVAN HOUSE, GROUND FLOOR, WARDHA ROAD, WARDHA ROAD, NAGPUR WARDHA ROAD, NAGPUR",22244715,true,true,NAGPUR,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065113,AURANGABAD,AURANGABAD,AURANGABAD,MAHARASHTRA,"AMDANI CHAMBERS, GROUND FLOOR, NEW GULMANDI ROAD, DALAL WADI, AURANGABAD- 431 001.",2346043,true,true,AURANGABAD,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065114,KANKAVLI,KANKAVLI,KANKAVLI,MAHARASHTRA,"3/16, A-1-B, GROUND FLOOR, HISSA NO.29, SURVEY NO.204, MUMABAI GOA HIGHWAY, AT AND POST - KANKAVLI, DIST - SINDHUDURG 416602",231160,true,true,SINDHUDURG,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065115,NASHIK,NASHIK,NASHIK,MAHARASHTRA,"SHOP NO. 3 & 4 & OFFICE NO.4,5 & 6 LUCKY PALACE APARTMENTS, CANARA CORNER, SHARANPUR TRIMBAK ROAD, NASHIK 422 005",2232031,true,true,NASIK,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065116,CHAKAN BRANCH,CHAKAN,CHAKAN,MAHARASHTRA,"ANAND BUILDING, MAIN BAZAR PETH, NEAR CHAKAN S.T. STAND, OLD PUNE NASHIK ROAD, CHAKAN, DIST PUNE 410 501",252001,true,true,PUNE,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065117,AMBAD,NASHIK,NASHIK,MAHARASHTRA,"SHO NO.1-5, LOTUS PLAZA, TRIMURTI CHOWK, AMBAD-LINK ROAD, CIDCO, NEW NASHIK NASHIK-422008",2399714,true,true,NASIK,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065118,NASHIK ROAD,NASHIK,NASHIK,MAHARASHTRA,"RAJAN COMPLEX, DATTA MANDIR STOP, NASHIK-PUNE HIGHWAY, NASHIK 422 101",2459921,true,true,NASIK,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065119,GARKHEDA,AURANGABAD,AURANGABAD,MAHARASHTRA,"SHOP NO.1 & 2, MALANI CHAMBERS, PLOT NO.5, SHIVAJI NAGAR ROAD, GARKHEDA, AURANGABAD 431005",2405659,true,true,AURANGABAD,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065120,ASHOK NAGAR,NANDED,NANDED,MAHARASHTRA,"GROUND FLOOR, 69, ASHOKNAGAR, WORKSHOP-BHAGYANAGAR ROAD, NANDED, DIST NANDED - 431605",254030,true,true,NANDED,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065121,C.A. ROAD,NAGPUR,NAGPUR,MAHARASHTRA,"GANDHI GRAIN MARKET, OLD BAGADGANJ LAYOUT, CHAPRU CHOWK, CENTRAL AVENUE ROAD, NAGPUR - 440 008.",2739918,true,true,NAGPUR,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065122,DABHADE TALEGAON,TALEGAON DABHADE,TALEGAONDABHADE,MAHARASHTRA,"AMBIKA CORNER APARTMENT, PLOT NO. 6 & 7, LAXMIBAUG COLONY, TALEGAON DABHADE TAL. MAWAL, DIST. PUNE - 410506",224460,true,true,PUNE,true,411065017
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065123,SAMRAT NAGAR,NANDED,NANDED,MAHARASHTRA,"PLOT NO. 10, 11, 12(D), THE NANDED TOWN MARKET AREA, SAMRAT NAGAR, NEAR ANNABHAU SATHE CHOWK, NANDED - 431 602.",284030,true,true,NANDED,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065124,INDIRA NAGAR,NASHIK,NASHIK,MAHARASHTRA,"GROUND FLOOR, MADHUSUDAN PARK, C BUILDING, WADALA PATHARDI ROAD, INDIRA NAGAR, NASHIK - 422 009",2329560,true,true,NASIK,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065125,PANCHAVATI,NASHIK,NASHIK,MAHARASHTRA,"4614, LAXMI RESIDENCY, PETH ROAD, PANCHAVATI, NASHIK - 422 003.",2629916,true,true,NASIK,true,
